country_code,country_name,year,indicator_code,indicator_name,short_name,category,value
CHN,China,2010,AG.LND.FRST.ZS,Forest area (% of land area),forest_area_pct_land,Structural predictor,21.3683288541342
CHN,China,2011,AG.LND.FRST.ZS,Forest area (% of land area),forest_area_pct_land,Structural predictor,21.574627370433
CHN,China,2012,AG.LND.FRST.ZS,Forest area (% of land area),forest_area_pct_land,Structural predictor,21.7809258867318
CHN,China,2013,AG.LND.FRST.ZS,Forest area (% of land area),forest_area_pct_land,Structural predictor,21.9872244030306
CHN,China,2014,AG.LND.FRST.ZS,Forest area (% of land area),forest_area_pct_land,Structural predictor,22.1935229193294
CHN,China,2015,AG.LND.FRST.ZS,Forest area (% of land area),forest_area_pct_land,Structural predictor,22.3998214356282
CHN,China,2016,AG.LND.FRST.ZS,Forest area (% of land area),forest_area_pct_land,Structural predictor,22.6305120997506
CHN,China,2017,AG.LND.FRST.ZS,Forest area (% of land area),forest_area_pct_land,Structural predictor,22.8306567492632
CHN,China,2018,AG.LND.FRST.ZS,Forest area (% of land area),forest_area_pct_land,Structural predictor,23.0309079153534
CHN,China,2019,AG.LND.FRST.ZS,Forest area (% of land area),forest_area_pct_land,Structural predictor,23.2311590814436
CHN,China,2020,AG.LND.FRST.ZS,Forest area (% of land area),forest_area_pct_land,Structural predictor,23.4313037309562
FRA,France,2010,AG.LND.FRST.ZS,Forest area (% of land area),forest_area_pct_land,Structural predictor,30.4647926523796
FRA,France,2011,AG.LND.FRST.ZS,Forest area (% of land area),forest_area_pct_land,Structural predictor,30.6195379905372
FRA,France,2012,AG.LND.FRST.ZS,Forest area (% of land area),forest_area_pct_land,Structural predictor,30.7742833286947
FRA,France,2013,AG.LND.FRST.ZS,Forest area (% of land area),forest_area_pct_land,Structural predictor,30.9290286668522
FRA,France,2014,AG.LND.FRST.ZS,Forest area (% of land area),forest_area_pct_land,Structural predictor,31.0837740050097
FRA,France,2015,AG.LND.FRST.ZS,Forest area (% of land area),forest_area_pct_land,Structural predictor,31.2385193431673
