country_code,country_name,year,indicator_code,indicator_name,short_name,category,value
CHN,China,2010,EG.ELC.ACCS.ZS,Access to electricity (% of population),access_to_electricity_pct,Infrastructure / USI,99.7
CHN,China,2011,EG.ELC.ACCS.ZS,Access to electricity (% of population),access_to_electricity_pct,Infrastructure / USI,99.9
CHN,China,2012,EG.ELC.ACCS.ZS,Access to electricity (% of population),access_to_electricity_pct,Infrastructure / USI,99.9
CHN,China,2013,EG.ELC.ACCS.ZS,Access to electricity (% of population),access_to_electricity_pct,Infrastructure / USI,100.0
CHN,China,2014,EG.ELC.ACCS.ZS,Access to electricity (% of population),access_to_electricity_pct,Infrastructure / USI,100.0
CHN,China,2015,EG.ELC.ACCS.ZS,Access to electricity (% of population),access_to_electricity_pct,Infrastructure / USI,100.0
CHN,China,2016,EG.ELC.ACCS.ZS,Access to electricity (% of population),access_to_electricity_pct,Infrastructure / USI,100.0
CHN,China,2017,EG.ELC.ACCS.ZS,Access to electricity (% of population),access_to_electricity_pct,Infrastructure / USI,100.0
CHN,China,2018,EG.ELC.ACCS.ZS,Access to electricity (% of population),access_to_electricity_pct,Infrastructure / USI,100.0
CHN,China,2019,EG.ELC.ACCS.ZS,Access to electricity (% of population),access_to_electricity_pct,Infrastructure / USI,100.0
CHN,China,2020,EG.ELC.ACCS.ZS,Access to electricity (% of population),access_to_electricity_pct,Infrastructure / USI,100.0
FRA,France,2010,EG.ELC.ACCS.ZS,Access to electricity (% of population),access_to_electricity_pct,Infrastructure / USI,100.0
FRA,France,2011,EG.ELC.ACCS.ZS,Access to electricity (% of population),access_to_electricity_pct,Infrastructure / USI,100.0
FRA,France,2012,EG.ELC.ACCS.ZS,Access to electricity (% of population),access_to_electricity_pct,Infrastructure / USI,100.0
FRA,France,2013,EG.ELC.ACCS.ZS,Access to electricity (% of population),access_to_electricity_pct,Infrastructure / USI,100.0
FRA,France,2014,EG.ELC.ACCS.ZS,Access to electricity (% of population),access_to_electricity_pct,Infrastructure / USI,100.0
