country_code,country_name,year,indicator_code,indicator_name,short_name,category,value
CHN,China,2010,NY.GDP.PCAP.CD,GDP per capita (current US$),gdp_per_capita_current_usd,Economic / USI,4629.24551710077
CHN,China,2011,NY.GDP.PCAP.CD,GDP per capita (current US$),gdp_per_capita_current_usd,Economic / USI,5703.76027973346
CHN,China,2012,NY.GDP.PCAP.CD,GDP per capita (current US$),gdp_per_capita_current_usd,Economic / USI,6405.0574241349
CHN,China,2013,NY.GDP.PCAP.CD,GDP per capita (current US$),gdp_per_capita_current_usd,Economic / USI,7147.03518622344
CHN,China,2014,NY.GDP.PCAP.CD,GDP per capita (current US$),gdp_per_capita_current_usd,Economic / USI,7781.06597484974
CHN,China,2015,NY.GDP.PCAP.CD,GDP per capita (current US$),gdp_per_capita_current_usd,Economic / USI,8175.33285077393
CHN,China,2016,NY.GDP.PCAP.CD,GDP per capita (current US$),gdp_per_capita_current_usd,Economic / USI,8254.86859320357
CHN,China,2017,NY.GDP.PCAP.CD,GDP per capita (current US$),gdp_per_capita_current_usd,Economic / USI,8979.67652709856
CHN,China,2018,NY.GDP.PCAP.CD,GDP per capita (current US$),gdp_per_capita_current_usd,Economic / USI,10085.6638148819
CHN,China,2019,NY.GDP.PCAP.CD,GDP per capita (current US$),gdp_per_capita_current_usd,Economic / USI,10342.9009524335
CHN,China,2020,NY.GDP.PCAP.CD,GDP per capita (current US$),gdp_per_capita_current_usd,Economic / USI,10627.4637989619
FRA,France,2010,NY.GDP.PCAP.CD,GDP per capita (current US$),gdp_per_capita_current_usd,Economic / USI,40694.8211697025
FRA,France,2011,NY.GDP.PCAP.CD,GDP per capita (current US$),gdp_per_capita_current_usd,Economic / USI,43929.7840873812
FRA,France,2012,NY.GDP.PCAP.CD,GDP per capita (current US$),gdp_per_capita_current_usd,Economic / USI,40863.5814412333
FRA,France,2013,NY.GDP.PCAP.CD,GDP per capita (current US$),gdp_per_capita_current_usd,Economic / USI,42669.1795111893
FRA,France,2014,NY.GDP.PCAP.CD,GDP per capita (current US$),gdp_per_capita_current_usd,Economic / USI,43148.0459288416
FRA,France,2015,NY.GDP.PCAP.CD,GDP per capita (current US$),gdp_per_capita_current_usd,Economic / USI,36702.4323733379
FRA,France,2016,NY.GDP.PCAP.CD,GDP per capita (current US$),gdp_per_capita_current_usd,Economic / USI,37024.2157133669
FRA,France,2017,NY.GDP.PCAP.CD,GDP per capita (current US$),gdp_per_capita_current_usd,Economic / USI,38687.1626407164
FRA,France,2018,NY.GDP.PCAP.CD,GDP per capita (current US$),gdp_per_capita_current_usd,Economic / USI,41418.1766484844
FRA,France,2019,NY.GDP.PCAP.CD,GDP per capita (current US$),gdp_per_capita_current_usd,Economic / USI,40408.2848574751
FRA,France,2020,NY.GDP.PCAP.CD,GDP per capita (current US$),gdp_per_capita_current_usd,Economic / USI,39169.8606000707
DEU,Germany,2010,NY.GDP.PCAP.CD,GDP per capita (current US$),gdp_per_capita_current_usd,Economic / USI,42396.9665976293
DEU,Germany,2011,NY.GDP.PCAP.CD,GDP per capita (current US$),gdp_per_capita_current_usd,Economic / USI,47630.9761883572
DEU,Germany,2012,NY.GDP.PCAP.CD,GDP per capita (current US$),gdp_per_capita_current_usd,Economic / USI,44718.0159214069
