country_code,country_name,year,indicator_code,indicator_name,short_name,category,value
CHN,China,2010,SE.SEC.ENRR,"School enrollment, secondary (% gross)",school_enrollment_secondary_gross_pct,Education / USI,90.7829173331445
CHN,China,2011,SE.SEC.ENRR,"School enrollment, secondary (% gross)",school_enrollment_secondary_gross_pct,Education / USI,92.0329425203903
CHN,China,2012,SE.SEC.ENRR,"School enrollment, secondary (% gross)",school_enrollment_secondary_gross_pct,Education / USI,92.2603063015232
CHN,China,2013,SE.SEC.ENRR,"School enrollment, secondary (% gross)",school_enrollment_secondary_gross_pct,Education / USI,
CHN,China,2014,SE.SEC.ENRR,"School enrollment, secondary (% gross)",school_enrollment_secondary_gross_pct,Education / USI,
CHN,China,2015,SE.SEC.ENRR,"School enrollment, secondary (% gross)",school_enrollment_secondary_gross_pct,Education / USI,
CHN,China,2016,SE.SEC.ENRR,"School enrollment, secondary (% gross)",school_enrollment_secondary_gross_pct,Education / USI,
CHN,China,2017,SE.SEC.ENRR,"School enrollment, secondary (% gross)",school_enrollment_secondary_gross_pct,Education / USI,
CHN,China,2018,SE.SEC.ENRR,"School enrollment, secondary (% gross)",school_enrollment_secondary_gross_pct,Education / USI,
CHN,China,2019,SE.SEC.ENRR,"School enrollment, secondary (% gross)",school_enrollment_secondary_gross_pct,Education / USI,
CHN,China,2020,SE.SEC.ENRR,"School enrollment, secondary (% gross)",school_enrollment_secondary_gross_pct,Education / USI,
FRA,France,2010,SE.SEC.ENRR,"School enrollment, secondary (% gross)",school_enrollment_secondary_gross_pct,Education / USI,106.424942016602
FRA,France,2011,SE.SEC.ENRR,"School enrollment, secondary (% gross)",school_enrollment_secondary_gross_pct,Education / USI,106.610641479492
FRA,France,2012,SE.SEC.ENRR,"School enrollment, secondary (% gross)",school_enrollment_secondary_gross_pct,Education / USI,105.813583374023
FRA,France,2013,SE.SEC.ENRR,"School enrollment, secondary (% gross)",school_enrollment_secondary_gross_pct,Education / USI,104.376602172852
FRA,France,2014,SE.SEC.ENRR,"School enrollment, secondary (% gross)",school_enrollment_secondary_gross_pct,Education / USI,103.425827026367
FRA,France,2015,SE.SEC.ENRR,"School enrollment, secondary (% gross)",school_enrollment_secondary_gross_pct,Education / USI,103.396041870117
FRA,France,2016,SE.SEC.ENRR,"School enrollment, secondary (% gross)",school_enrollment_secondary_gross_pct,Education / USI,103.308097839355
FRA,France,2017,SE.SEC.ENRR,"School enrollment, secondary (% gross)",school_enrollment_secondary_gross_pct,Education / USI,103.756080627441
FRA,France,2018,SE.SEC.ENRR,"School enrollment, secondary (% gross)",school_enrollment_secondary_gross_pct,Education / USI,103.773330688477
FRA,France,2019,SE.SEC.ENRR,"School enrollment, secondary (% gross)",school_enrollment_secondary_gross_pct,Education / USI,104.07689666748
FRA,France,2020,SE.SEC.ENRR,"School enrollment, secondary (% gross)",school_enrollment_secondary_gross_pct,Education / USI,104.566566467285
