country_code,country_name,year,indicator_code,indicator_name,short_name,category,value
CHN,China,2010,SP.URB.TOTL.IN.ZS,Urban population (% of total population),urban_population_pct,Structural predictor,49.2340270628041
CHN,China,2011,SP.URB.TOTL.IN.ZS,Urban population (% of total population),urban_population_pct,Structural predictor,51.8300285339355
CHN,China,2012,SP.URB.TOTL.IN.ZS,Urban population (% of total population),urban_population_pct,Structural predictor,53.1003112792969
CHN,China,2013,SP.URB.TOTL.IN.ZS,Urban population (% of total population),urban_population_pct,Structural predictor,54.4900016784668
CHN,China,2014,SP.URB.TOTL.IN.ZS,Urban population (% of total population),urban_population_pct,Structural predictor,55.7502555847168
CHN,China,2015,SP.URB.TOTL.IN.ZS,Urban population (% of total population),urban_population_pct,Structural predictor,57.3297843933105
CHN,China,2016,SP.URB.TOTL.IN.ZS,Urban population (% of total population),urban_population_pct,Structural predictor,58.8399238586426
CHN,China,2017,SP.URB.TOTL.IN.ZS,Urban population (% of total population),urban_population_pct,Structural predictor,60.2402687072754
CHN,China,2018,SP.URB.TOTL.IN.ZS,Urban population (% of total population),urban_population_pct,Structural predictor,61.5001983642578
CHN,China,2019,SP.URB.TOTL.IN.ZS,Urban population (% of total population),urban_population_pct,Structural predictor,62.7099151611328
CHN,China,2020,SP.URB.TOTL.IN.ZS,Urban population (% of total population),urban_population_pct,Structural predictor,63.5234230266258
FRA,France,2010,SP.URB.TOTL.IN.ZS,Urban population (% of total population),urban_population_pct,Structural predictor,77.0962844808803
FRA,France,2011,SP.URB.TOTL.IN.ZS,Urban population (% of total population),urban_population_pct,Structural predictor,77.1182717387509
FRA,France,2012,SP.URB.TOTL.IN.ZS,Urban population (% of total population),urban_population_pct,Structural predictor,77.1669464919916
FRA,France,2013,SP.URB.TOTL.IN.ZS,Urban population (% of total population),urban_population_pct,Structural predictor,77.2440721470918
FRA,France,2014,SP.URB.TOTL.IN.ZS,Urban population (% of total population),urban_population_pct,Structural predictor,77.3524296788613
FRA,France,2015,SP.URB.TOTL.IN.ZS,Urban population (% of total population),urban_population_pct,Structural predictor,77.7610919150066
FRA,France,2016,SP.URB.TOTL.IN.ZS,Urban population (% of total population),urban_population_pct,Structural predictor,78.5999114705779
FRA,France,2017,SP.URB.TOTL.IN.ZS,Urban population (% of total population),urban_population_pct,Structural predictor,78.6467804026368
FRA,France,2018,SP.URB.TOTL.IN.ZS,Urban population (% of total population),urban_population_pct,Structural predictor,78.6714432536599
FRA,France,2019,SP.URB.TOTL.IN.ZS,Urban population (% of total population),urban_population_pct,Structural predictor,78.6890784549356
FRA,France,2020,SP.URB.TOTL.IN.ZS,Urban population (% of total population),urban_population_pct,Structural predictor,78.7119131765249
DEU,Germany,2010,SP.URB.TOTL.IN.ZS,Urban population (% of total population),urban_population_pct,Structural predictor,80.305702559949
DEU,Germany,2011,SP.URB.TOTL.IN.ZS,Urban population (% of total population),urban_population_pct,Structural predictor,80.3405762928198
DEU,Germany,2012,SP.URB.TOTL.IN.ZS,Urban population (% of total population),urban_population_pct,Structural predictor,80.393447520218
DEU,Germany,2013,SP.URB.TOTL.IN.ZS,Urban population (% of total population),urban_population_pct,Structural predictor,80.4732318400362
DEU,Germany,2014,SP.URB.TOTL.IN.ZS,Urban population (% of total population),urban_population_pct,Structural predictor,80.57574023743
DEU,Germany,2015,SP.URB.TOTL.IN.ZS,Urban population (% of total population),urban_population_pct,Structural predictor,80.6974371632814
DEU,Germany,2016,SP.URB.TOTL.IN.ZS,Urban population (% of total population),urban_population_pct,Structural predictor,80.8347870684725
DEU,Germany,2017,SP.URB.TOTL.IN.ZS,Urban population (% of total population),urban_population_pct,Structural predictor,80.9842544038853
DEU,Germany,2018,SP.URB.TOTL.IN.ZS,Urban population (% of total population),urban_population_pct,Structural predictor,81.1423036204018
DEU,Germany,2019,SP.URB.TOTL.IN.ZS,Urban population (% of total population),urban_population_pct,Structural predictor,81.3053991689039
DEU,Germany,2020,SP.URB.TOTL.IN.ZS,Urban population (% of total population),urban_population_pct,Structural predictor,81.4700055002738
ISR,Israel,2010,SP.URB.TOTL.IN.ZS,Urban population (% of total population),urban_population_pct,Structural predictor,91.7316426703946
ISR,Israel,2011,SP.URB.TOTL.IN.ZS,Urban population (% of total population),urban_population_pct,Structural predictor,91.7304024673781
